,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
1159,Senamiestis,Dainavos g.,980,"19,60",2,50,5,5
1160,Senamiestis,Dainavos g.,980,"19,60",2,50,5,5
1161,Žvėrynas,Liepyno g.,999,"10,41",3,96,6,9
1162,Karoliniškės,Rolando Jankausko g.,360,"6,00",3,60,12,12
1163,Naujamiestis,Smolensko g.,450,"9,78",2,46,7,8
1164,Naujamiestis,Skroblų g.,250,"12,50",1,20,1,5
1165,Žirmūnai,Trinapolio g.,540,"8,44",3,64,9,11
1166,Šnipiškės,Konstitucijos pr.,650,"14,67",2,44.3,8,29
1167,Senamiestis,Pranciškonų g.,660,"8,25",3,80,2,2
1168,Lazdynai,Architektų g.,260,"7,88",1,33,4,9
1169,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1170,Antakalnis,Smėlio g.,500,"9,26",3,54,4,5
1171,Fabijoniškės,L. Giros g.,340,"6,80",2,50,9,9
1172,Žirmūnai,Žirmūnų g.,500,"8,20",2,61,11,11
1173,Justiniškės,Taikos g.,120,"8,00",1,15,9,9
1174,Senamiestis,Pamėnkalnio g.,550,"11,46",2,48,2,5
1175,Senamiestis,Gedimino pr.,799,"11,75",2,68,6,6
1176,Naujamiestis,M. K. Čiurlionio g.,1000,"12,50",3,80,2,7
1177,Kirtimai,Burbiškių g.,360,"11,25",1,32,2,3
1178,Burbiškės,Burbiškių g.,360,"11,25",1,32,2,3
1179,Naujamiestis,Mindaugo g.,600,"11,32",2,53,5,5
1180,Naujamiestis,Mindaugo g.,550,"11,46",2,48,5,5
